relation_id,respondent_id,transcript_file,segment_id,segment_text,source_construct,relation_type,target_construct,intensity,certainty,memo
1,7,7.txt,0,"brak kierowc˘w na rynku",autonomous_operation,amplifies,workforce_efficiency,0.92,0.94,"Autonomizacja moľe ograniczy† problem brak˘w kadrowych"
2,7,7.txt,0,"koszt cakowity ... inwestycje niezb©dne",implementation_cost,conflicts_with,business_acceptance,0.89,0.91,"Wysokie koszty inwestycji ograniczajĄ wdraľanie technologii"
3,7,7.txt,0,"regulacje zwiĄzane z czasem pracy kierowc˘w",regulatory_procedures,suppresses,continuous_transport,0.88,0.9,"Przepisy czasu pracy ograniczajĄ ciĄgo† transportu"
4,7,7.txt,0,"duľy potencja na optymalizacj©",continuous_transport,amplifies,operational_efficiency,0.9,0.92,"Brak ograniczeä czasu pracy zwi©ksza efektywno† operacyjnĄ"
5,7,7.txt,0,"systemy wspomagania kierowcy ... oszcz©dzajĄ paliwo",autonomous_operation,reduces,fuel_consumption,0.87,0.89,"Automatyzacja moľe ogranicza† zuľycie paliwa"
6,7,7.txt,0,"potencja oszcz©dnoci jest wi©kszy",fuel_consumption,reduces,energy_reduction,0.84,0.86,"Niľsze spalanie oznacza redukcj© zuľycia energii"
7,7,7.txt,0,"mniej aut jest potrzebnych",continuous_transport,reduces,environmental_impact,0.82,0.84,"Lepsze wykorzystanie floty moľe ograniczy† wpyw rodowiskowy"
8,7,7.txt,0,"innowacyjno†",autonomous_operation,amplifies,social_image,0.8,0.82,"Wdroľenie CAV moľe poprawia† wizerunek firmy"
9,7,7.txt,0,"mniejsza liczba aut",traffic_efficiency,amplifies,infrastructure_optimization,0.74,0.76,"Mniejsza liczba pojazd˘w moľe usprawni† wykorzystanie infrastruktury"
10,7,7.txt,0,"wi©ksza przewidywalno† pojazdu autonomicznego",autonomous_operation,reduces,accident_reduction,0.76,0.78,"Standaryzacja zachowaä moľe ogranicza† liczb© wypadk˘w"
11,7,7.txt,0,"wi©ksza standaryzacja decyzji",technology_standardization,amplifies,traffic_efficiency,0.79,0.81,"Standaryzacja decyzji pojazd˘w moľe usprawni† ruch drogowy"
12,7,7.txt,0,"wi©ksza przewidywalno† koszt˘w serwisowych",technology_standardization,stabilizes,operational_efficiency,0.77,0.79,"Standaryzacja eksploatacji zwi©ksza przewidywalno† koszt˘w"
13,7,7.txt,0,"automat m˘gby lepiej radzi† sobie",autonomous_operation,amplifies,parking_efficiency,0.73,0.75,"System autonomiczny moľe poprawia† efektywno† parkowania"
14,7,7.txt,0,"lepsze wykorzystanie samochod˘w",continuous_transport,amplifies,environmental_sustainability,0.81,0.83,"Wi©ksza produktywno† floty wspiera zr˘wnowaľony transport"
15,7,7.txt,0,"koszt poczĄtkowy nowej technologii",implementation_cost,conflicts_with,business_acceptance,0.92,0.94,"Wysokie koszty poczĄtkowe utrudniajĄ adopcj© CAV"
16,7,7.txt,0,"zaufanie konsument˘w ... bardzo duľa przeszkoda",technological_trust,conflicts_with,social_acceptance,0.93,0.95,"Niski poziom zaufania ogranicza akceptacj© technologii"
17,7,7.txt,0,"technologia, kt˘ra b©dzie w fazie test˘w",technological_maturity,depends_on,research_support,0.82,0.84,"Rozw˘j technologii wymaga dalszych test˘w i wsparcia badawczego"
18,7,7.txt,0,"rodki wspierajĄce badania i rozw˘j",research_support,amplifies,technological_maturity,0.85,0.87,"Finansowanie badaä wspiera rozw˘j technologii autonomicznych"
19,7,7.txt,0,"mogoby zwi©kszy† zaufanie do technologii",regulatory_procedures,amplifies,technological_trust,0.84,0.86,"Regulacje odpowiedzialnoci zwi©kszajĄ zaufanie do CAV"
20,7,7.txt,0,"odpowiednie zach©ty do jej wykorzystania",regulatory_procedures,amplifies,business_acceptance,0.83,0.85,"Wsparcie paästwa moľe zwi©ksza† adopcj© technologii"
21,7,7.txt,0,"auto jest za drogie",investment_requirements,conflicts_with,business_acceptance,0.9,0.92,"Wysokie wymagania inwestycyjne ograniczajĄ wdroľenie"
22,7,7.txt,0,"pozyskania dodatkowych rodk˘w",investment_requirements,depends_on,autonomous_operation,0.88,0.9,"Wdroľenie CAV wymaga dodatkowego finansowania"
23,7,7.txt,0,"dodatkowych pas˘w",infrastructure_optimization,enables,continuous_transport,0.81,0.83,"Rozbudowa infrastruktury wspiera autonomiczny transport"
24,7,7.txt,0,"ochrony ubezpieczeniowej",deployment_risk,conflicts_with,business_acceptance,0.8,0.82,"Niepewno† odpowiedzialnoci zwi©ksza ryzyko wdroľenia"
25,7,7.txt,0,"szkoleä dla kierowc˘w",training_requirements,depends_on,technological_maturity,0.74,0.76,"Rozw˘j CAV wymaga nowych kompetencji operator˘w"
26,7,7.txt,0,"duľsze dystanse na bardziej standardowych trasach",highway_test_zones,enables,autonomous_operation,0.87,0.89,"Autostrady sĄ bardziej odpowiednim rodowiskiem dla CAV"
27,7,7.txt,0,"ostatnia mila ... duľĄ przeszkod©",urban_test_zones,conflicts_with,autonomous_operation,0.86,0.88,"—rodowisko miejskie utrudnia wdroľenie autonomii"
28,7,7.txt,0,"czytelnoci znak˘w i sygna˘w drogowych",signal_visibility,stabilizes,autonomous_operation,0.88,0.9,"Czytelne oznakowanie wspiera dziaanie system˘w autonomicznych"
29,7,7.txt,0,"optymalizacja infrastruktury lokalnej",infrastructure_optimization,enables,urban_test_zones,0.8,0.82,"Modernizacja infrastruktury miejskiej wspiera testowanie CAV"
30,7,7.txt,0,"integracja r˘ľnych system˘w",supporting_infrastructure,stabilizes,autonomous_operation,0.73,0.75,"Integracja system˘w ITS wspiera wdraľanie CAV"
31,7,7.txt,0,"bardzo wolny rozw˘j technologii",technological_maturity,conflicts_with,autonomous_operation,0.87,0.89,"Powolny rozw˘j technologii ogranicza tempo wdroľeä"
32,7,7.txt,0,"zach©ty dla przedsi©biorc˘w",research_support,amplifies,business_acceptance,0.84,0.86,"Wsparcie publiczne moľe zwi©kszy† wykorzystanie CAV"
